#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-01-27T22:19:12 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ54c7defe3919	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/ApJS/194/42&tab:{J/ApJS/194/42/table3}&key:source=J/ApJS/194/42&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/194/42/table3
#-order=I
#-out=SDSS
#-out=z
#-out=LL(b)
#-out=st(a)
#-out=MBH(ab)
#-out=e_MBH(ab)
#DR3+7=DR3+7
#Sloan=Sloan
#Simbad=Simbad
#NED=NED
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_21940042
#Name: J/ApJS/194/42
#Title: SDSS-DR3 MgII-based black hole masses (Rafiee+, 2011)
#Table	J_ApJS_194_42_table3:
#Name: J/ApJS/194/42/table3
#Title: Catalog of virial mass measurements
#Column	SDSS	(A18)	SDSS designation (HHMMSS.ss+DDMMSS.s; J2000)	[ucd=meta.id;meta.main]
#Column	z	(F7.4)	Redshift (spectroscopic)	[ucd=src.redshift]
#Column	LL(b)	(E8.1)	? Monochromatic 3000{AA} luminosity; in 10^44^erg/s units (2)	[ucd=meta.unit]
#Column	st(a)	(F5.1)	? Intrinsic {sigma}(MgII); in Angstrom (4)	[ucd=stat.error]
#Column	MBH(ab)	(E9.2)	? BH mass, after PCA and before RPC (4)	[ucd=phys.mass]
#Column	e_MBH(ab)	(E9.2)	? Error in MBH(ab) (4)	[ucd=stat.error]
#Column	RAJ2000	(F9.5)	Right Ascension in decimal degrees (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F9.5)	Declination in decimal degrees (J2000)	[ucd=pos.eq.dec;meta.main]
SDSS;z;LL(b);st(a);MBH(ab);e_MBH(ab);RAJ2000;DEJ2000
140946.44-005903.1; 1.2890; 8.8e+01; 21.1; 1.46e+09; 3.07e+08;212.44350;-00.98421
140950.30-011840.6; 0.9335; 2.2e+01; 20.7; 7.15e+08; 1.51e+08;212.45961;-01.31128
140950.40+623821.4; 0.9836; 3.0e+01; 15.7; 4.79e+08; 1.01e+08;212.46002;+62.63930
140950.78+025620.0; 1.2039; 4.4e+01; 19.8; 9.07e+08; 1.91e+08;212.46162;+02.93891
140951.10-015329.1; 1.3597; 4.2e+01; 23.3; 1.23e+09; 2.59e+08;212.46292;-01.89143
140953.96+412625.9; 1.8497; 8.2e+01; 21.8; 1.48e+09; 3.11e+08;212.47484;+41.44055
140954.08+034706.4; 1.2650; 5.2e+01; 15.6; 6.04e+08; 1.27e+08;212.47534;+03.78513
140956.31-024604.0; 1.2646; 1.6e+02; 18.0; 1.42e+09; 2.99e+08;212.48466;-02.76778
140957.44+621217.4; 1.2502; 7.7e+01; 20.6; 1.29e+09; 2.72e+08;212.48934;+62.20484
141000.79+641010.4; 1.7068; 9.6e+01; 13.8; 6.50e+08; 1.37e+08;212.50331;+64.16958
141001.39+632739.9; 1.9368; 9.3e+01; 27.7; 2.67e+09; 5.62e+08;212.50581;+63.46109
141003.19+633632.3; 1.9762; 8.0e+01; 20.2; 1.31e+09; 2.77e+08;212.51332;+63.60898
141003.70+015901.8; 1.5990; 4.5e+01; 19.0; 8.99e+08; 1.89e+08;212.51545;+01.98384
141004.32+050636.2; 1.7756; 1.3e+02; 15.6; 9.66e+08; 2.04e+08;212.51803;+05.11006
141004.43+044439.4; 1.6891; 1.2e+02; 19.2; 1.36e+09; 2.86e+08;212.51847;+04.74430
141005.13+404308.8; 1.1619; 4.1e+01; 19.4; 8.43e+08; 1.78e+08;212.52140;+40.71913
141009.07+474249.1; 0.8742; 5.9e+01; 21.8; 1.27e+09; 2.68e+08;212.53782;+47.71365
141010.15+462949.3; 1.6845; 8.8e+01; 16.8; 9.11e+08; 1.92e+08;212.54233;+46.49704
141010.87+615803.9; 1.1123; 4.2e+01; 21.8; 1.08e+09; 2.27e+08;212.54532;+61.96776
141011.63+411945.1; 1.5020; 9.2e+01; 17.1; 9.80e+08; 2.06e+08;212.54849;+41.32920
141013.59+422445.6; 1.4130; 5.2e+01; 18.6; 8.60e+08; 1.81e+08;212.55666;+42.41269
141014.28+025931.0; 1.3847; 5.7e+01; 19.4; 1.00e+09; 2.11e+08;212.55953;+02.99195
141015.36-001418.9; 1.8758; 1.2e+02; 18.2; 1.23e+09; 2.59e+08;212.56400;-00.23859
141016.85+520109.8; 1.4408; 1.8e+01; 15.6; 3.62e+08; 7.64e+07;212.57024;+52.01939
141018.46-004059.4; 1.0758; 8.2e+01; 20.9; 1.39e+09; 2.92e+08;212.57694;-00.68317
141018.89+631939.6; 1.2769; 4.2e+01; 17.3; 6.84e+08; 1.44e+08;212.57872;+63.32767
141021.11+541452.4; 1.3994; 1.5e+02; 19.5; 1.62e+09; 3.41e+08;212.58800;+54.24791
141022.30+590209.9; 0.9956; 1.3e+01; 19.0; 4.50e+08; 9.48e+07;212.59296;+59.03611
141023.63+453118.5; 0.9771; 1.2e+01; 20.1; 4.92e+08; 1.04e+08;212.59848;+45.52182
141025.25+452752.3; 1.8621; 6.6e+01; 18.9; 1.02e+09; 2.15e+08;212.60522;+45.46455
141026.08+455758.9; 1.9542; 6.4e+01; 23.6; 1.55e+09; 3.26e+08;212.60870;+45.96637
141028.21+460820.9; 1.0161; 1.8e+01; 24.7; 9.09e+08; 1.92e+08;212.61755;+46.13915
141028.74+661333.0; 0.8173; 1.7e+01; 16.1; 3.78e+08; 7.96e+07;212.61978;+66.22584
141030.34-004231.6; 1.6865; 4.2e+01; 21.4; 1.02e+09; 2.15e+08;212.62645;-00.70878
141031.11+520316.6; 1.6826; 4.8e+01; 15.2; 5.63e+08; 1.19e+08;212.62966;+52.05463
141031.16+421459.4; 1.3232; 4.0e+01; 16.1; 5.71e+08; 1.20e+08;212.62987;+42.24984
141031.26+423152.4; 1.3573; 3.4e+01; 20.6; 8.77e+08; 1.85e+08;212.63026;+42.53124
141031.49+032704.1; 1.7194; 2.5e+01; 21.1; 8.07e+08; 1.70e+08;212.63121;+03.45115
141033.14-024024.8; 1.7642; 5.1e+01; 12.1; 3.64e+08; 7.66e+07;212.63811;-02.67357
141037.05+563644.2; 1.3176; 6.8e+01; 18.6; 1.00e+09; 2.11e+08;212.65441;+56.61230
141037.32-012628.8; 1.9722; 1.3e+02; 24.2; 2.44e+09; 5.15e+08;212.65552;-01.44134
141038.24+033528.5; 1.0372; 3.3e+01; 15.7; 5.02e+08; 1.06e+08;212.65936;+03.59126
141038.33+001723.8; 1.7475; 8.8e+01; 16.6; 9.18e+08; 1.93e+08;212.65972;+00.28995
141039.64+470601.0; 1.3089; 1.6e+01; 15.5; 3.41e+08; 7.18e+07;212.66520;+47.10029
141041.38+615518.7; 1.8239; 1.0e+02; 18.8; 1.26e+09; 2.65e+08;212.67245;+61.92187
141044.87+010735.4; 0.9558; 5.2e+01; 20.0; 1.01e+09; 2.14e+08;212.68700;+01.12651
141046.64+614645.8; 0.9051; 7.8e+01; 20.8; 1.33e+09; 2.80e+08;212.69437;+61.77940
141047.30+012737.1; 1.8898; 9.2e+01; 19.7; 1.27e+09; 2.68e+08;212.69711;+01.46033
141047.72-002554.8; 1.5020; 9.5e+01; 22.1; 1.67e+09; 3.52e+08;212.69886;-00.43191
141049.73+452535.0; 1.9436; 6.4e+01; 14.9; 6.80e+08; 1.43e+08;212.70724;+45.42640
141049.78+045216.1; 1.1106; 6.9e+01; 17.3; 8.63e+08; 1.82e+08;212.70745;+04.87114
141051.56+464528.7; 1.1633; 3.2e+01; 19.8; 7.82e+08; 1.65e+08;212.71483;+46.75799
141052.51+622534.9; 1.6189; 1.2e+01; 16.1; 3.22e+08; 6.77e+07;212.71879;+62.42638
141053.55+653728.9; 1.3185; 5.4e+01; 17.1; 7.46e+08; 1.57e+08;212.72314;+65.62471
141054.35+043217.3; 0.8571; 5.9e+00; 11.8; 1.27e+08; 2.67e+07;212.72650;+04.53814
141054.45+021549.8; 1.6214; 1.2e+02; 16.7; 1.06e+09; 2.22e+08;212.72689;+02.26384
141055.70+585258.3; 1.2551; 5.1e+01; 17.6; 7.71e+08; 1.62e+08;212.73209;+58.88287
141057.90+050126.9; 0.9394; 3.0e+01; 17.1; 5.53e+08; 1.16e+08;212.74127;+05.02415
141059.36+570829.2; 1.5759; 6.4e+01; 18.3; 9.24e+08; 1.95e+08;212.74735;+57.14147
141059.72+041848.0; 1.7260; 2.5e+01; 18.9; 6.37e+08; 1.34e+08;212.74884;+04.31335
141059.76-011113.2; 0.8472; 2.6e+01; 17.5; 5.38e+08; 1.13e+08;212.74901;-01.18700
141100.35+020430.7; 1.8807; 1.4e+02; 19.0; 1.49e+09; 3.14e+08;212.75150;+02.07520
141101.02+513102.5; 1.8086; 3.6e+01; 23.7; 1.09e+09; 2.29e+08;212.75426;+51.51737
141102.49+421156.6; 0.9729; 2.2e+01; 14.4; 3.38e+08; 7.12e+07;212.76039;+42.19907
141104.25-030043.3; 1.5305; 5.4e+01; 19.0; 9.38e+08; 1.98e+08;212.76774;-03.01205
141104.42+014139.6; 1.8060; 8.6e+01; 22.7; 1.67e+09; 3.53e+08;212.76842;+01.69434
141104.86+520516.8; 1.0838; 2.6e+01; 15.2; 4.11e+08; 8.66e+07;212.77026;+52.08801
141107.83+003607.1; 1.7235; 1.3e+02; 18.8; 1.43e+09; 3.01e+08;212.78266;+00.60199
141108.19+040201.9; 0.8889; 1.4e+01; 22.4; 6.54e+08; 1.38e+08;212.78416;+04.03389
141113.47+030117.3; 1.3487; 2.2e+02; 17.9; 1.68e+09; 3.53e+08;212.80613;+03.02148
141114.36+520629.4; 1.5223; 1.9e+01; 16.8; 4.19e+08; 8.82e+07;212.80985;+52.10817
141118.98+560459.9; 1.5195; 5.8e+01; 19.6; 1.02e+09; 2.15e+08;212.82909;+56.08331
141119.19+005158.8; 1.8346; 9.1e+01; 22.6; 1.69e+09; 3.56e+08;212.82998;+00.86636
141119.44+413802.3; 1.1292; 2.6e+01; 46.9; 3.90e+09; 8.22e+08;212.83102;+41.63399
141123.68+532845.7; 1.6500; 2.9e+01; 15.1; 4.26e+08; 8.97e+07;212.84871;+53.47937
141127.97+022854.5; 0.8078; 5.6e+00; 18.1; 2.63e+08; 5.54e+07;212.86654;+02.48181
141129.65+514701.7; 1.6751; 3.0e+01; 15.4; 4.60e+08; 9.70e+07;212.87354;+51.78383
141130.86+640535.9; 1.0601; 2.3e+01; 16.4; 4.66e+08; 9.81e+07;212.87861;+64.09332
141133.73-012014.9; 1.3101; 4.7e+01; 16.0; 6.14e+08; 1.29e+08;212.89056;-01.33749
141137.44+460639.3; 1.1170; 2.0e+01; 15.0; 3.50e+08; 7.38e+07;212.90603;+46.11093
141137.69+001421.2; 1.0332; 2.2e+01; 31.1; 1.55e+09; 3.26e+08;212.90706;+00.23923
141140.91+024107.6; 1.8973; 1.7e+02; 18.9; 1.61e+09; 3.38e+08;212.92048;+02.68547
141141.72-024951.6; 1.5225; 1.8e+02; 17.8; 1.51e+09; 3.17e+08;212.92384;-02.83101
141143.14+652204.7; 1.4464; 7.2e+01; 21.0; 1.32e+09; 2.78e+08;212.92977;+65.36799
141148.36+515655.3; 1.5291; 4.0e+01; 14.5; 4.66e+08; 9.81e+07;212.95152;+51.94872
141148.99-011438.9; 0.8574; 2.3e+01; 16.4; 4.44e+08; 9.36e+07;212.95416;-01.24415
141149.60+013610.9; 1.9442; 1.2e+02; 23.3; 1.96e+09; 4.13e+08;212.95668;+01.60304
141150.64+654106.5; 1.5573; 4.7e+01; 24.4; 1.43e+09; 3.01e+08;212.96103;+65.68516
141151.45+592349.1; 1.1793; 5.7e+01; 14.5; 5.60e+08; 1.18e+08;212.96441;+59.39698
141153.38+042056.4; 1.7429; 2.6e+01; 18.0; 5.84e+08; 1.23e+08;212.97242;+04.34901
141153.84+582227.3; 1.8210; 1.1e+02; 20.5; 1.50e+09; 3.16e+08;212.97435;+58.37426
141154.12+520023.4; 0.9660; 2.4e+01; 17.8; 5.30e+08; 1.12e+08;212.97551;+52.00651
141155.04+032418.0; 1.0307; 6.0e+01; 14.2; 5.56e+08; 1.17e+08;212.97934;+03.40502
141155.98-002054.9; 1.6187; 1.0e+02; 18.5; 1.23e+09; 2.59e+08;212.98328;-00.34861
141158.69-003913.7; 0.8346; 2.4e+01; 20.4; 7.24e+08; 1.53e+08;212.99455;-00.65382
141159.60+583339.8; 1.2555; 3.5e+01; 15.7; 5.12e+08; 1.08e+08;212.99837;+58.56106
141159.73+423950.3; 0.8865; 1.1e+02; 20.2; 1.48e+09; 3.13e+08;212.99890;+42.66399
141200.29+615000.0; 1.7751; 8.5e+01; 20.3; 1.35e+09; 2.84e+08;213.00125;+61.83336
141203.78+504821.1; 1.7263; 2.5e+01; 21.0; 8.01e+08; 1.69e+08;213.01576;+50.80586
141204.81+025339.1; 1.9031; 1.1e+02; 19.0; 1.34e+09; 2.81e+08;213.02004;+02.89422
141205.96+032320.9; 1.6381; 2.6e+02; 19.8; 2.21e+09; 4.65e+08;213.02486;+03.38915
141207.26+031143.1; 1.0822; 2.1e+01; 16.4; 4.44e+08; 9.36e+07;213.03027;+03.19533
141209.66+470632.1; 1.7793; 1.8e+01; 11.6; 2.17e+08; 4.56e+07;213.04027;+47.10892
141211.03+502544.7; 0.8627; 5.5e+00; 16.3; 2.15e+08; 4.54e+07;213.04598;+50.42909
141212.67+420204.1; 1.5815; 5.4e+01; 18.9; 9.06e+08; 1.91e+08;213.05281;+42.03448
141214.31+022932.5; 1.9693; 1.1e+02; 23.2; 1.95e+09; 4.10e+08;213.05963;+02.49238
141214.98+010747.4; 0.8805; 2.6e+01; 19.4; 6.80e+08; 1.43e+08;213.06242;+01.12986
141215.03+031853.1; 1.8617; 1.5e+02; 19.1; 1.52e+09; 3.21e+08;213.06266;+03.31477
141215.25+534312.2; 1.7914; 1.2e+02; 20.9; 1.74e+09; 3.66e+08;213.06355;+53.72006
141218.46+615632.9; 1.7513; 6.4e+01; 17.2; 7.92e+08; 1.67e+08;213.07694;+61.94249
141218.65-003224.0; 1.6346; 8.2e+01; 19.5; 1.21e+09; 2.55e+08;213.07775;-00.54002
141219.96-013408.4; 0.9842; 4.6e+01; 24.0; 1.38e+09; 2.90e+08;213.08318;-01.56901
141220.08+455649.8; 1.0292; 1.0e+01; 16.2; 2.98e+08; 6.28e+07;213.08370;+45.94719
141220.36+021914.7; 0.8909; 2.2e+01; 18.9; 5.82e+08; 1.23e+08;213.08486;+02.32075
141221.46+604036.6; 1.5649; 1.4e+01; 17.5; 4.31e+08; 9.08e+07;213.08943;+60.67686
141221.72+522556.6; 0.9236; 2.5e+01; 20.1; 7.08e+08; 1.49e+08;213.09051;+52.43240
141226.48+525347.6; 1.1456; 5.0e+01; 19.1; 9.06e+08; 1.91e+08;213.11034;+52.89656
141226.75+453423.4; 1.4621; 2.7e+01; 24.9; 1.14e+09; 2.40e+08;213.11148;+45.57318
141227.79+420248.9; 1.3177; 6.0e+01; 21.0; 1.21e+09; 2.56e+08;213.11581;+42.04692
141231.18+545511.5; 1.5233; 9.3e+01; 24.1; 1.92e+09; 4.05e+08;213.12992;+54.91987
141234.66+555541.0; 1.5709; 5.5e+01; 17.7; 8.17e+08; 1.72e+08;213.14443;+55.92806
141235.05+614009.6; 0.8450; 7.6e+01; 17.7; 9.51e+08; 2.00e+08;213.14606;+61.66935
141235.55+544506.1; 1.7735; 3.8e+01; 21.5; 8.79e+08; 1.85e+08;213.14815;+54.75170
141235.74+504949.9; 1.7414; 2.5e+01; 23.9; 1.02e+09; 2.15e+08;213.14895;+50.83055
141237.00+512026.9; 1.6154; 7.0e+01; 18.5; 1.03e+09; 2.17e+08;213.15418;+51.34081
141238.61+602409.8; 1.2517; 5.9e+01; 19.5; 1.04e+09; 2.18e+08;213.16090;+60.40273
141239.72+592131.4; 0.9805; 2.3e+01; 20.2; 6.90e+08; 1.45e+08;213.16554;+59.35875
141241.52+585256.4; 1.6088; 5.9e+01; 16.7; 7.56e+08; 1.59e+08;213.17301;+58.88236
141242.08-013818.4; 1.8406; 4.5e+01; 16.1; 6.00e+08; 1.26e+08;213.17536;-01.63845
141244.30+600128.2; 0.8253; 9.3e+00; 24.3; 6.22e+08; 1.31e+08;213.18462;+60.02452
141246.21+031411.5; 1.3755; 9.2e+01; 21.5; 1.56e+09; 3.28e+08;213.19256;+03.23655
141248.18+521243.6; 1.5145; 2.7e+01; 14.8; 3.82e+08; 8.05e+07;213.20077;+52.21212
141250.96-030059.5; 1.9616; 1.9e+02; 23.1; 2.51e+09; 5.29e+08;213.21237;-03.01655
141252.49+643239.4; 1.2478; 1.8e+01; 19.6; 5.80e+08; 1.22e+08;213.21874;+64.54428
141254.05+454442.8; 1.7019; 2.1e+01; 16.5; 4.67e+08; 9.84e+07;213.22521;+45.74523
141256.17+422355.0; 1.6259; 8.4e+01; 16.7; 8.99e+08; 1.89e+08;213.23406;+42.39864
141257.39+464303.1; 1.8752; 2.7e+01; 21.0; 7.83e+08; 1.65e+08;213.23915;+46.71755
141259.18+585056.7; 1.6170; 9.4e+01; 19.5; 1.30e+09; 2.75e+08;213.24662;+58.84909
141302.72+005323.7; 1.9112; 1.3e+02; 23.8; 2.25e+09; 4.74e+08;213.26136;+00.88992
141303.06+012218.6; 1.9456; 8.6e+01; 14.6; 6.68e+08; 1.41e+08;213.26277;+01.37185
141304.38+523605.1; 1.9706; 2.0e+01; 25.6; 1.17e+09; 2.47e+08;213.26825;+52.60142
141305.66+471436.1; 1.7247; 2.0e+01; 13.9; 2.92e+08; 6.15e+07;213.27362;+47.24338
141307.75+553129.3; 1.7476; 1.6e+02; 20.2; 1.87e+09; 3.94e+08;213.28231;+55.52483
141310.19+503900.7; 1.8865; 6.7e+01; 15.8; 6.88e+08; 1.45e+08;213.29248;+50.65021
141311.45+624909.8; 1.8763; 1.1e+02; 17.9; 1.17e+09; 2.47e+08;213.29771;+62.81940
141312.54-022800.6; 1.1692; 3.4e+01; 17.2; 6.12e+08; 1.29e+08;213.30226;-02.46683
141318.30+502912.3; 1.8928; 3.3e+01; 18.0; 5.80e+08; 1.22e+08;213.32628;+50.48675
141319.82+513718.0; 0.9849; 2.8e+01; 18.0; 6.06e+08; 1.28e+08;213.33261;+51.62169
141321.40+472030.9; 1.5141; 1.8e+01; 20.1; 5.56e+08; 1.17e+08;213.33920;+47.34194
141321.91+013241.9; 0.9560; 3.1e+01; 15.5; 4.66e+08; 9.81e+07;213.34130;+01.54499
141325.00+453559.0; 0.8347; 7.5e+00; 23.5; 5.52e+08; 1.16e+08;213.35420;+45.59975
141328.32+510619.3; 1.4027; 1.9e+01; 17.1; 4.50e+08; 9.47e+07;213.36800;+51.10536
141332.31+641958.3; 1.8766; 1.5e+02; 18.7; 1.50e+09; 3.15e+08;213.38465;+64.33288
141332.53+612705.9; 0.9587; 2.8e+01; 18.1; 6.04e+08; 1.27e+08;213.38557;+61.45164
141333.85+024610.9; 1.0478; 2.3e+01; 28.8; 1.37e+09; 2.88e+08;213.39105;+02.76970
141333.90+472615.7; 0.9427; 1.0e+01; 12.5; 1.65e+08; 3.48e+07;213.39128;+47.43772
141337.57+032346.2; 1.6526; 5.8e+01; 15.1; 6.19e+08; 1.30e+08;213.40657;+03.39618
141341.03+034534.1; 1.5405; 5.9e+01; 21.2; 1.19e+09; 2.50e+08;213.42099;+03.75947
141341.12+521220.1; 1.2127; 3.1e+01; 14.7; 4.26e+08; 8.97e+07;213.42134;+52.20558
141341.83+050814.7; 1.0361; 4.6e+01; 35.5; 2.98e+09; 6.27e+08;213.42431;+05.13743
141345.63+041253.8; 1.8446; 4.7e+01; 20.8; 1.11e+09; 2.34e+08;213.44013;+04.21496
141347.08+523525.7; 1.1716; 5.0e+01; 28.0; 1.69e+09; 3.57e+08;213.44618;+52.59047
141350.21-023826.1; 1.9033; 6.4e+01; 13.7; 5.74e+08; 1.21e+08;213.45924;-02.64060
141352.42+052722.6; 1.4342; 5.8e+01; 20.4; 1.10e+09; 2.33e+08;213.46843;+05.45629
141352.70+603457.2; 1.6093; 2.0e+01; 15.7; 3.98e+08; 8.39e+07;213.46960;+60.58257
141352.98+523444.2; 0.8593; 8.7e+00; 15.4; 2.57e+08; 5.42e+07;213.47078;+52.57896
141354.35+044653.5; 1.8867; 3.3e+02; 16.7; 1.75e+09; 3.69e+08;213.47647;+04.78155
141358.64+422800.0; 0.9894; 2.8e+01; 16.3; 5.01e+08; 1.06e+08;213.49433;+42.46669
141403.12+005900.8; 0.9666; 3.0e+01; 17.0; 5.48e+08; 1.15e+08;213.51303;+00.98357
141407.20+530439.3; 1.0716; 3.9e+01; 20.7; 9.31e+08; 1.96e+08;213.53002;+53.07759
141407.53+471003.4; 1.8813; 4.4e+01; 15.9; 6.15e+08; 1.30e+08;213.53139;+47.16762
141409.29-005208.0; 0.8207; 3.8e+01; 18.6; 7.47e+08; 1.57e+08;213.53875;-00.86891
141409.59+595647.6; 1.1030; 5.5e+01; 14.3; 5.35e+08; 1.13e+08;213.53999;+59.94658
141409.85+520137.2; 1.7415; 3.5e+01; 16.1; 5.04e+08; 1.06e+08;213.54105;+52.02700
141414.21+023213.6; 1.1453; 7.0e+01; 21.3; 1.34e+09; 2.82e+08;213.55923;+02.53712
141414.83-022257.8; 1.6492; 7.4e+01; 16.3; 8.09e+08; 1.70e+08;213.56183;-02.38273
141416.19+642827.5; 1.9676; 8.4e+01; 15.6; 7.50e+08; 1.58e+08;213.56748;+64.47432
141420.04+465438.8; 1.7656; 6.5e+01; 20.2; 1.15e+09; 2.43e+08;213.58352;+46.91080
141420.48+452046.6; 1.9290; 1.3e+02; 22.6; 2.11e+09; 4.45e+08;213.58536;+45.34629
141420.63+455939.4; 0.9700; 1.6e+01; 22.4; 6.90e+08; 1.45e+08;213.58597;+45.99428
141427.65+461514.5; 1.3419; 1.8e+01; 15.8; 3.65e+08; 7.69e+07;213.61523;+46.25404
141430.09+034046.5; 1.6545; 5.8e+01; 22.7; 1.43e+09; 3.00e+08;213.62538;+03.67960
141430.16+602250.7; 1.7474; 7.4e+01; 15.5; 7.45e+08; 1.57e+08;213.62568;+60.38075
141432.45+523154.5; 1.8683; 4.7e+01; 19.5; 8.53e+08; 1.80e+08;213.63524;+52.53182
141434.39-011534.4; 1.5967; 6.5e+01; 18.0; 9.22e+08; 1.94e+08;213.64331;-01.25957
141435.96+552956.7; 0.8077; 1.9e+01; 13.4; 2.73e+08; 5.75e+07;213.64985;+55.49909
141436.88+615715.4; 1.0262; 1.2e+02; 18.8; 1.37e+09; 2.89e+08;213.65367;+61.95428
141437.99+045537.4; 1.8510; 8.2e+01; 14.9; 7.17e+08; 1.51e+08;213.65829;+04.92707
141439.08+611345.1; 1.5183; 7.8e+01; 16.7; 8.73e+08; 1.84e+08;213.66284;+61.22920
141442.90+450233.9; 0.8469; 5.9e+01; 17.1; 7.82e+08; 1.65e+08;213.67877;+45.04277
141449.07+421649.1; 1.8340; 7.1e+01; 15.4; 6.97e+08; 1.47e+08;213.70449;+42.28032
141449.16-014458.9; 0.8056; 1.7e+01; 17.8; 4.51e+08; 9.50e+07;213.70486;-01.74972
141453.24+020817.7; 1.5666; 9.1e+01; 16.2; 8.85e+08; 1.86e+08;213.72185;+02.13827
141457.75+650722.9; 0.9443; 2.7e+01; 21.1; 8.00e+08; 1.68e+08;213.74063;+65.12305
141501.61+593301.6; 0.8608; 5.6e+01; 18.4; 8.84e+08; 1.86e+08;213.75672;+59.55047
141502.88+470557.4; 1.0841; 1.2e+01; 20.9; 5.08e+08; 1.07e+08;213.76201;+47.09929
141505.36+603607.7; 0.8632; 7.1e+00; 22.9; 5.06e+08; 1.06e+08;213.77237;+60.60215
141508.40+645356.3; 1.1035; 3.2e+01; 17.3; 5.87e+08; 1.24e+08;213.78502;+64.89898
141511.98+642057.8; 1.9174; 1.2e+02; 19.6; 1.43e+09; 3.02e+08;213.79992;+64.34939
141513.20+634037.2; 1.3291; 4.8e+01; 16.8; 6.76e+08; 1.42e+08;213.80500;+63.67700
141515.47+011253.2; 1.0390; 3.6e+01; 15.2; 4.83e+08; 1.02e+08;213.81450;+01.21479
141516.36+501410.6; 1.7399; 3.9e+01; 17.9; 6.87e+08; 1.45e+08;213.81817;+50.23630
141517.62+464427.1; 0.9648; 2.5e+01; 15.2; 4.16e+08; 8.76e+07;213.82345;+46.74087
141518.85+501839.9; 0.8207; 5.2e+00; 18.5; 2.67e+08; 5.63e+07;213.82857;+50.31110
141519.46+044125.0; 1.1540; 2.9e+01; 50.4; 4.83e+09; 1.02e+09;213.83112;+04.69028
141519.56+000534.0; 1.9355; 1.1e+02; 20.3; 1.49e+09; 3.15e+08;213.83150;+00.09280
141519.82+002330.3; 1.2621; 7.0e+01; 25.7; 1.91e+09; 4.03e+08;213.83262;+00.39176
141520.65+422407.3; 1.6737; 5.2e+01; 16.5; 6.74e+08; 1.42e+08;213.83607;+42.40205
141521.92+604659.3; 0.8348; 6.3e+00; 19.0; 3.08e+08; 6.50e+07;213.84137;+60.78316
141522.07+504143.5; 1.5793; 4.7e+01; 19.1; 8.81e+08; 1.86e+08;213.84199;+50.69542
141526.16-020918.1; 1.0697; 3.3e+01; 20.7; 8.57e+08; 1.81e+08;213.85902;-02.15504
141527.17+015120.5; 1.4986; 4.8e+01; 17.9; 8.14e+08; 1.72e+08;213.86322;+01.85569
141527.41+563347.8; 1.9339; 1.0e+02; 22.0; 1.68e+09; 3.54e+08;213.86425;+56.56328
141528.76-002633.2; 1.1551; 2.8e+02; 20.7; 2.54e+09; 5.34e+08;213.86986;-00.44256
141531.38+051401.8; 1.5839; 4.7e+01; 21.1; 1.09e+09; 2.30e+08;213.88077;+05.23384
141532.18+404951.5; 1.9443; 7.1e+01; 18.0; 9.69e+08; 2.04e+08;213.88412;+40.83100
141533.18+654352.6; 0.8727; 1.7e+01; 20.9; 6.43e+08; 1.36e+08;213.88828;+65.73130
141533.52+650123.9; 1.5633; 2.6e+02; 21.4; 2.57e+09; 5.41e+08;213.88970;+65.02332
141533.89+520558.0; 0.9858; 3.3e+01; 16.7; 5.58e+08; 1.18e+08;213.89121;+52.09946
141534.30+533714.1; 1.2265; 1.0e+02; 20.4; 1.48e+09; 3.11e+08;213.89296;+53.62059
141537.60+654613.1; 1.5253; 5.5e+01; 17.2; 7.68e+08; 1.62e+08;213.90667;+65.77033
141537.72+503704.5; 1.5480; 3.8e+01; 21.0; 9.47e+08; 2.00e+08;213.90717;+50.61794
141537.91+011058.7; 1.8985; 6.4e+01; 20.1; 1.10e+09; 2.32e+08;213.90798;+01.18299
141541.58+024535.8; 1.5470; 7.6e+01; 22.1; 1.50e+09; 3.16e+08;213.92328;+02.75996
141543.09+525057.0; 1.3905; 3.5e+01; 17.4; 6.31e+08; 1.33e+08;213.92954;+52.84917
141543.55+034022.7; 1.8873; 2.4e+01; 17.9; 5.35e+08; 1.13e+08;213.93149;+03.67299
141547.55+050327.9; 1.0063; 2.1e+01; 18.7; 5.65e+08; 1.19e+08;213.94814;+05.05777
141549.70+005356.4; 1.0431; 1.8e+02; 23.7; 2.64e+09; 5.57e+08;213.95711;+00.89901
141550.18+414454.9; 0.7698; 3.3e+00; 24.6; 3.88e+08; 8.16e+07;213.95912;+41.74860
141551.09+012242.5; 1.2352; 1.4e+02; 17.7; 1.27e+09; 2.67e+08;213.96290;+01.37848
141551.30+471143.4; 1.8198; 5.4e+01; 20.1; 1.02e+09; 2.15e+08;213.96378;+47.19539
